,"Jan 23","Feb 23","Mar 23","Apr 23","May 23","Jun 23","Jul 23","Aug 23","Sep 23","Oct 23","Nov 23","Dec 23","TOTAL"
"Jet International",25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00
"JG Maintenance",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1250.16,0.00,0.00,0.00,1250.16
"Joe Fly Company",0.00,0.00,0.00,84723.70,0.00,0.00,0.00,0.00,0.00,16666.56,0.00,0.00,101390.26
"Johnny Clean Car Wash",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2987.82,0.00,2987.82
"Johnson Controls",0.00,0.00,0.00,0.00,0.00,0.00,0.00,60200.32,0.00,64099.10,0.00,0.00,124299.42
"Johnston Integration Tech Aviation",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1745.50,0.00,1745.50
"Jones Lang LaSalle",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1047.94,0.00,0.00,0.00,1047.94
"Jonesboro City Water & Light Plant",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5855.40,0.00,5855.40
"JPC TRADING W.L.L.",0.00,0.00,0.00,0.00,0.00,4272.00,0.00,0.00,0.00,0.00,0.00,0.00,4272.00
"JPL Compressor Service, Inc.",0.00,0.00,0.00,0.00,384.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,384.54
"K & S Air Conditioning, Inc",0.00,532.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,532.60
"Kaiser Foundation Hospital-Downey-",35098.82,14066.81,0.00,0.00,100.64,0.00,0.00,0.00,366.08,0.00,0.00,0.00,49632.35
"Kaiser Permanente - North Hollywood",0.00,0.00,1169.60,6293.68,0.00,0.00,0.00,0.00,4871.13,0.00,0.00,0.00,12334.41
"Karma Automotive",0.00,0.00,0.00,0.00,0.00,0.00,0.00,2059.00,1152.80,0.00,0.00,0.00,3211.80
"Kauai Island Utility CO-OP",0.00,4850.00,0.00,0.00,4410.70,0.00,0.00,0.00,0.00,0.00,0.00,3109.12,12369.82
"Kenworth Mexicana, S.A de C.V.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14925.84,0.00,14925.84
"Kobelco Compressors America, Inc.",109.95,4761.50,3593.40,1313.00,4548.20,1277.00,0.00,2604.70,0.00,0.00,972.80,0.00,19180.55
"Kohls EFC E Fulfillment Center",0.00,0.00,0.00,0.00,0.00,0.00,0.00,2037.00,0.00,0.00,0.00,0.00,2037.00
"KRS Energy Trading Services",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1579.90,1579.90
"Kyowa America Corp",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2440.76,0.00,2440.76
"Kyowa America Corporation",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5025.66,5025.66
"LA Downtown Medical Center",0.00,5210.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5210.00
"La Paloma Generating Company",9480.00,0.00,37468.50,0.00,50884.10,47954.84,0.00,5175.65,0.00,1737.15,0.00,0.00,152700.24
"LAC+USC Medical Center",0.00,0.00,0.00,0.00,0.00,11514.17,17712.30,1175.72,0.00,81020.26,15057.47,0.00,126479.92
"Lake Charles Filtration, LLC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8726.00,0.00,0.00,8726.00
"LGM Pharma- (Nexgen Pharma)",0.00,798.32,2461.44,0.00,649.76,2153.72,0.00,1226.96,6819.83,1468.88,0.00,0.00,15578.91
"LINDE, Co",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,683.80,683.80
"Logzone Urban JV2, LLC",0.00,0.00,0.00,7537.26,0.00,0.00,336.56,331.68,4085.86,0.00,0.00,0.00,12291.36
"Loma Linda University",4778.04,2668.56,6685.55,0.00,3266.04,6766.80,8346.54,17105.73,10246.36,4911.56,6392.84,5196.12,76364.14
"Long Beach Generation LLC",0.00,0.00,959.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,959.48
"Los Angeles County Rancho Los Amigos",0.00,0.00,4544.70,9051.65,0.00,0.00,4544.70,0.00,9050.47,4544.70,4544.70,0.00,36280.92
"Los Angeles Cty. Internal Service Dept.",0.00,0.00,7086.30,1322.80,0.00,0.00,0.00,6129.37,0.00,2341.12,0.00,1369.12,18248.71
"Los Angeles Dept. of Water & Power",4858.26,6887.76,2823.00,0.00,0.00,0.00,4578.00,12221.14,0.00,0.00,6297.61,24668.00,62333.77
"Los Angeles Times-Olympic",0.00,5970.36,6721.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6523.20,0.00,19215.48
"Lotus USA",7866.28,0.00,0.00,3252.88,0.00,4427.84,7172.02,0.00,0.00,0.00,0.00,0.00,22719.02
"Louis Vuitton",1402.31,12707.82,1984.87,9377.00,0.00,13656.75,0.00,2858.50,1168.50,917.00,0.00,12178.00,56250.75
"Lower Colorado River Authority",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37305.40,0.00,0.00,0.00,37305.40
"Luka Industries",1000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1000.00
"Madison- Ofc 5161 LLC",0.00,5002.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5002.10
"Malaga Power",0.00,0.00,0.00,19964.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19964.40
"Marathon Finishing Systems, Inc.",12976.16,12976.16,0.00,25952.32,0.00,12976.16,12976.16,0.00,12976.16,12976.16,0.00,12976.16,116785.44
"Marathon Petrolem",45438.00,25668.80,64887.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135994.00
"Marenco",0.00,0.00,0.00,0.00,0.00,0.00,696.00,0.00,0.00,0.00,0.00,0.00,696.00
"Marin Medical Laboratories",0.00,0.00,0.00,0.00,1330.23,0.00,87.68,0.00,0.00,0.00,0.00,0.00,1417.91
"Martin Supply",0.00,0.00,8531.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8531.00
"Mattco Forge",0.00,0.00,0.00,0.00,0.00,0.00,0.00,3079.92,0.00,0.00,833.60,416.80,4330.32
"Mayekawa USA, Inc.",1381.85,0.00,1763.60,0.00,3048.43,0.00,0.00,1316.24,0.00,0.00,0.00,2816.00,10326.12
"Mcfadden-Dale Hardware",0.00,0.00,0.00,0.00,0.00,0.00,0.00,5443.52,1689.36,0.00,0.00,0.00,7132.88
"McKenney's A/C, Inc.",0.00,0.00,743.48,1272.40,0.00,482.30,0.00,0.00,301.52,0.00,0.00,0.00,2799.70
"Medic Air, LLC",2127.94,0.00,175.10,0.00,0.00,175.10,0.00,1927.91,700.40,350.20,0.00,0.00,5456.65
"Metro",33827.12,3368.79,3715.48,59368.27,5834.52,56451.08,16240.32,1165.25,0.00,12329.90,1165.25,0.00,193465.98
"Mexat Oil & Gas Services",0.00,0.00,0.00,0.00,0.00,1355.68,0.00,0.00,0.00,0.00,0.00,0.00,1355.68
"MicroPac Technologies, Inc.",0.00,0.00,0.00,0.00,7716.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7716.97
"Mid-Georgia Cogen, LP",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3015.50,0.00,0.00,3015.50
"Midway Peaking / Middle River Project",0.00,7275.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7275.55
"Mission Aire Corporation",0.00,0.00,0.00,0.00,3779.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3779.68
"MLK OP CENTER",0.00,0.00,21910.82,0.00,0.00,0.00,11057.08,4475.73,0.00,0.00,0.00,0.00,37443.63
"Montana Dakota Utilities",0.00,0.00,0.00,0.00,0.00,18798.68,0.00,0.00,0.00,0.00,0.00,0.00,18798.68
"Motion Flow Control Products, Inc",0.00,5128.80,475.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5604.00
"Motion Industries.",2036.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,123.00,123.00,2725.20,123.00,5130.60
"Msi Diecut, LLC",0.00,0.00,0.00,0.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.00
"Municipal Maintenance Equipment, Inc.",0.00,0.00,0.00,0.00,825.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,825.00
"NAES",0.00,0.00,0.00,7862.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7862.00
"NAES - Tracy Power Project",0.00,0.00,3555.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3555.49
"Napa Auto Parts.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,1267.31,0.00,0.00,0.00,0.00,1267.31
"National Coatings & Supplies",0.00,0.00,0.00,0.00,0.00,0.00,948.40,0.00,0.00,0.00,0.00,0.00,948.40
"National Renewable Energy Lab / NREL",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,193.10,0.00,0.00,193.10
"NCPA (No. Cal. Power Agency)",0.00,6235.50,0.00,117754.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,123990.04
"Nederman Mikropul",0.00,3639.72,0.00,0.00,0.00,0.00,2175.00,0.00,0.00,0.00,0.00,0.00,5814.72
"Nevada Cooler Pad",0.00,0.00,0.00,0.00,4988.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4988.28
"New Indy Container - Oxnard",0.00,8196.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8196.07,0.00,0.00,16392.14
"New Indy Container Board-Ontario, LLC",3687.40,0.00,0.00,4732.40,0.00,4732.40,0.00,0.00,0.00,0.00,0.00,0.00,13152.20
"Next Turbo Americas, LLC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,3113.88,0.00,1659.12,0.00,0.00,4773.00
"Northridge Hospital Medical Center",0.00,30078.62,4497.16,-6.69,29556.83,-1203.26,570.40,30038.63,-1203.26,-101.58,24641.63,-1203.26,115665.22
"Norton Simon Museum",0.00,5405.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5405.84
"NRG - Marsh Landing",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9221.00,0.00,9221.00
"NRG - Walnut Creek Energy",0.00,0.00,0.00,0.00,-831.00,0.00,0.00,0.00,0.00,2130.00,0.00,0.00,1299.00
"NRG Energy El Segundo",0.00,139901.80,0.00,15265.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,155167.52
"NRG FAIST Corporation",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"NRG Texas Power LLC",0.00,0.00,0.00,1816.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1816.00
"NTT Global Data Centers Americas, Inc",0.00,0.00,0.00,5641.16,0.00,0.00,0.00,5861.83,0.00,0.00,0.00,0.00,11502.99
"NV Energy",0.00,0.00,0.00,0.00,552.30,0.00,388.56,0.00,0.00,0.00,0.00,0.00,940.86
"NW Natural",0.00,0.00,0.00,0.00,1838.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1838.00
"NXTNANO",0.00,2921.00,18221.40,3625.00,21025.00,0.00,290.00,4550.00,0.00,18393.30,2352.00,0.00,71377.70
"Oakland Power Station",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2880.00,2880.00
"OLS Energy-CHINO",0.00,0.00,0.00,0.00,0.00,9021.92,0.00,0.00,0.00,0.00,0.00,0.00,9021.92
"Olympic Aviation",749.00,0.00,0.00,749.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1498.00
"Orange County Global Medical Center",0.00,0.00,0.00,4259.92,3614.24,0.00,0.00,8281.00,0.00,4035.43,0.00,0.00,20190.59
"OSI Optoelectronics-Semicoa",0.00,0.00,0.00,0.00,0.00,4209.12,0.00,0.00,0.00,0.00,2721.96,0.00,6931.08
"P. Industriales",1989.00,0.00,9856.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25825.00,999.52,38669.92
"Pacific Gas and Electric",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20360.25,20360.25
"Pacific Mechanical Supply",417.40,982.79,0.00,258.87,172.58,0.00,0.00,258.87,258.87,0.00,546.67,0.00,2896.05
"PacifiCorp",0.00,0.00,26388.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26388.60
"Palmdale Regional Medical Center",0.00,0.00,0.00,17849.53,0.00,47036.12,0.00,36460.48,0.00,0.00,0.00,4379.08,105725.21
"Palomar Health",0.00,0.00,37751.25,2452.24,3236.92,0.00,0.00,0.00,6509.70,6053.30,5113.50,0.00,61116.91
"Pamlico Air Company",0.00,0.00,0.00,10597.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10597.38
"Panasonic Avionics Corporation",7533.70,0.00,0.00,0.00,0.00,0.00,0.00,2804.44,0.00,0.00,0.00,1402.22,11740.36
"PAP-",0.00,377.28,0.00,0.00,413.52,0.00,111.24,0.00,0.00,0.00,432.00,0.00,1334.04
"Pasadena Police Dept Range",0.00,0.00,0.00,0.00,0.00,2162.48,0.00,0.00,0.00,2522.38,0.00,0.00,4684.86
"Pasadena Water and Power",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22684.12,0.00,0.00,22684.12
"Pechanga Resort & Casino",0.00,5548.26,47936.40,0.00,20142.00,0.00,9707.32,0.00,0.00,0.00,0.00,0.00,83333.98
"Pepperdine University",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90606.21,10143.07,100749.28
"Perlmutter Purchasing Power",0.00,0.00,0.00,0.00,0.00,0.00,4850.12,0.00,0.00,0.00,0.00,0.00,4850.12
"Pertamin Jaya SDN BHD",0.00,752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,752.00
"Petro Middle East",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1063.11,0.00,913.11,0.00,1976.22
"Phillips 66 Company",0.00,0.00,16400.80,0.00,0.00,0.00,0.00,0.00,36212.40,0.00,0.00,0.00,52613.20
"Placentia-Linda Hospital",11631.17,3469.99,0.00,425.00,3241.87,0.00,425.00,3241.87,0.00,3263.19,0.00,425.00,26123.09
"Port of Seattle",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1525.82,0.00,0.00,0.00,1525.82
"Power Equipments Trading, LLC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10234.77,0.00,0.00,0.00,10234.77
"PPG Energy",0.00,0.00,42860.64,0.00,134162.96,17692.23,0.00,0.00,0.00,0.00,17524.00,0.00,212239.83
"Pratt Energy, LLC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11833.20,0.00,0.00,11833.20
"Praxair",18707.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18707.00
"Precision Filter Products",0.00,1075.80,0.00,0.00,0.00,0.00,1018.44,0.00,0.00,9588.05,1336.00,0.00,13018.29
"Precision Instruments, Inc.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,435.46,435.46
"Preferred Filtration",0.00,0.00,0.00,4314.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4314.55
"Production Print Solutions-MCS Services",0.00,0.00,0.00,0.00,0.00,0.00,0.00,1562.40,0.00,0.00,0.00,0.00,1562.40
"Providence Little Co. of Mary- San Pedro-",9183.53,0.00,450.00,0.00,2989.72,0.00,0.00,6480.90,0.00,0.00,6406.62,450.00,25960.77
"Providence Little Company of Mary - Torr-",0.00,0.00,0.00,0.00,0.00,0.00,4720.09,873.15,0.00,0.00,0.00,0.00,5593.24
"Providence Saint Joseph - MAIN Burbank-",37878.84,0.00,24435.67,0.00,-888.05,22912.43,22597.73,1564.51,0.00,22912.43,3748.25,24977.43,160139.24
"Providence Tarzana Medical Center-",2012.18,1220.26,16648.34,0.00,-425.94,18442.01,1134.74,11479.62,0.00,0.00,0.00,0.00,50511.21
"Prudential Cleanroom Services",0.00,0.00,806.56,0.00,1630.32,5761.27,1640.47,1642.72,0.00,0.00,0.00,1458.29,12939.63
"PT. Damar Makmur Perkasa",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.00,0.00,0.00,120.00
"Qualcomm",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14238.91,0.00,0.00,0.00,14238.91
"Quest Diagnostics",0.00,23293.37,11326.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3478.42,28083.90,66182.38
"R&D/ Product Develpment",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"R.T Muirhead Company",0.00,0.00,0.00,0.00,0.00,0.00,0.00,2131.60,0.00,0.00,0.00,0.00,2131.60
"Radford Studio Center",0.00,0.00,0.00,16452.54,5682.94,0.00,0.00,0.00,0.00,3527.12,0.00,0.00,25662.60
"Rayvern Lighting Supply Co. Inc.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3050.00,0.00,3050.00
"Redstone Holdings Inc.",0.00,0.00,0.00,0.00,0.00,671.90,0.00,0.00,0.00,0.00,0.00,0.00,671.90
"Redwood Materials, Inc",0.00,0.00,4696.96,16907.48,13405.13,0.00,4764.19,3828.00,0.00,1303.68,0.00,10063.80,54969.24
"Rich's Products Corporation- (Venice Bake",499.92,0.00,0.00,0.00,0.00,0.00,551.48,0.00,0.00,0.00,409.67,0.00,1461.07
"Rickii Hernandez",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,101.76,101.76
"Rimage Corporation",1436.40,0.00,1436.40,0.00,1436.40,0.00,0.00,957.60,0.00,957.60,861.84,0.00,7086.24
"Rio Filters Supply",0.00,0.00,0.00,0.00,0.00,2471.40,0.00,0.00,2268.58,0.00,0.00,0.00,4739.98
"River Road Generating Plant",0.00,1295.90,0.00,0.00,0.00,0.00,0.00,10730.27,0.00,0.00,0.00,0.00,12026.17
"Riverside University Health System",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4500.00,0.00,0.00,0.00,4500.00
"Riyadah Energy Technologies",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29296.32,0.00,29296.32
"Roto Air Filters Sales & Service",12205.15,9866.41,4781.99,0.00,7751.19,8371.59,7066.32,7490.24,9636.15,1725.32,8160.04,0.00,77054.40
"rPlanet Earth",0.00,1233.32,1601.76,0.00,0.00,0.00,0.00,0.00,1601.76,0.00,0.00,0.00,4436.84
"RSD-Lake Forest",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2526.76,0.00,2526.76
"RSD - POMONA",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,272.46,272.46
"Ruggable",0.00,559.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,559.90
"S&B Filters",0.00,0.00,0.00,1382.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1382.00
"Safran Cabin C&D Zodiac",2430.00,3645.00,0.00,9720.00,0.00,4860.00,0.00,0.00,0.00,0.00,0.00,0.00,20655.00
"San Gabriel Valley Medical Center",0.00,0.00,0.00,0.00,0.00,36160.89,0.00,0.00,0.00,0.00,0.00,0.00,36160.89
"San José-Santa Clara Regional Wastewater",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1898.89,1898.89
"Schmidt Ocean Institute",0.00,0.00,0.00,0.00,0.00,0.00,636.88,3821.28,0.00,0.00,0.00,0.00,4458.16
"Searles Valley Minerals",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6455.60,0.00,0.00,0.00,6455.60
"Sechang Philippines Corporation",0.00,0.00,0.00,0.00,7812.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7812.00
"Senior Flexonics, Inc",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1223.20,1223.20
"Shabmans Trading Est.",0.00,2880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2880.00
"Shop Med Parts",0.00,0.00,0.00,0.00,0.00,0.00,2760.00,0.00,0.00,0.00,0.00,0.00,2760.00
"Shopmedparts",0.00,755.76,0.00,0.00,0.00,0.00,336.00,0.00,0.00,0.00,0.00,0.00,1091.76
"Shultz Steel, LLC",0.00,6345.80,11320.04,0.00,0.00,0.00,32460.56,0.00,0.00,0.00,0.00,0.00,50126.40
"Sierra Pacific Industries",0.00,0.00,0.00,0.00,2386.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2386.00
"Simprint",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"SMI Industries, Inc.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Soap to Nuts",0.00,0.00,0.00,0.00,0.00,378.20,0.00,0.00,0.00,0.00,0.00,0.00,378.20
"Solar Liberty",0.00,0.00,0.00,0.00,537.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,537.30
"South Pacific Heating Air Conditioning",1227.12,0.00,0.00,0.00,0.00,0.00,0.00,1087.12,0.00,0.00,0.00,0.00,2314.24
"Southern Valve & Control, LLC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,423.63,0.00,0.00,423.63
"Southwest Research Institute",1272.18,0.00,781.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,768.00,0.00,2821.49
"Sparkling Clear Industries",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3395.00,0.00,0.00,0.00,3395.00
"Spartan Enterprises",0.00,0.00,0.00,0.00,16147.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16147.95
"SPX Radiodetection",966.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,966.00
"SRP - Mesquite Generating Station",48932.10,0.00,0.00,0.00,0.00,0.00,1330.15,0.00,0.00,0.00,0.00,0.00,50262.25
"SRP Coolidge Generating Station",0.00,21556.00,86789.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,108345.80
"St Joseph Hospital - Orange-",5695.92,5910.14,0.00,23031.11,7739.91,0.00,23564.40,0.00,29182.52,0.00,14208.96,0.00,109332.96
"St. Francis Medical Center",0.00,0.00,0.00,3338.24,35103.52,0.00,0.00,3340.52,0.00,988.32,0.00,0.00,42770.60
"St. Mary Medical Center",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4680.23,0.00,0.00,0.00,4680.23
"STICSA",0.00,0.00,1200.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1200.25
"Strategic Mechanical, Inc.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1359.40,1359.40
"SUMESTRA GLOBAL LLC.",0.00,0.00,0.00,1400.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1400.96
"Sunrise Power Compan",0.00,0.00,52478.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,173237.58,0.00,225716.00
"Suntest Systems, Inc.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,227.00,227.00
"Superior Felt & Filtration, LLC.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,2872.40,0.00,0.00,0.00,5745.60,8618.00
"Supreme Color Graphics",0.00,0.00,0.00,0.00,0.00,0.00,900.80,0.00,0.00,0.00,0.00,0.00,900.80
"Sutton-Clark Supply, Inc.",0.00,0.00,0.00,0.00,0.00,0.00,7046.28,0.00,0.00,0.00,0.00,0.00,7046.28
"Swiss Krono",0.00,0.00,0.00,0.00,0.00,148.12,0.00,0.00,356.24,0.00,0.00,0.00,504.36
"Teledyne API",0.00,0.00,0.00,0.00,1747.50,0.00,2097.00,0.00,2097.00,0.00,2097.00,0.00,8038.50
"Teledyne Scientific Imaging",0.00,0.00,0.00,0.00,2715.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2715.60
"Temecula Valley Hospital",0.00,0.00,0.00,0.00,0.00,0.00,16813.34,0.00,0.00,0.00,0.00,0.00,16813.34
"Tesoro Refinery & Marketing Company LLC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Tex-Air Filters",0.00,0.00,0.00,2755.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2755.76
"The Aerospace Corporation",17005.35,869.66,19966.80,12138.68,0.00,0.00,4939.00,2131.78,0.00,17127.34,12007.33,12149.80,98335.74
"The Filter Man, LLC",0.00,6370.00,0.00,5451.97,0.00,6038.40,0.00,0.00,0.00,0.00,0.00,0.00,17860.37
"The Gus Company",0.00,0.00,0.00,0.00,503.40,268.00,0.00,0.00,0.00,0.00,0.00,0.00,771.40
"The Procter & Gamble Paper",0.00,23434.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,955.83,0.00,24390.67
"Thor Energy",0.00,0.00,0.00,0.00,0.00,152.90,1908.00,0.00,0.00,0.00,0.00,0.00,2060.90
"TID Water & Power",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3608.46,0.00,28940.40,0.00,32548.86
"TIS Construction Services, Inc",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9611.20,0.00,0.00,9611.20
"Topaz Power Group",722.40,0.00,0.00,0.00,0.00,8608.20,0.00,0.00,0.00,0.00,0.00,0.00,9330.60
"Torrance Memorial Medical Center",0.00,0.00,0.00,0.00,0.00,0.00,1300.00,0.00,1053.23,0.00,0.00,0.00,2353.23
"Torrance Refining Company, LLC.",0.00,0.00,0.00,0.00,0.00,2224.00,0.00,0.00,0.00,0.00,0.00,0.00,2224.00
"Total Filtration Specialists",0.00,0.00,7013.50,205.84,0.00,0.00,0.00,0.00,5027.97,9410.00,10029.88,5220.71,36907.90
"TradeMark Nitrogen",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7116.00,0.00,0.00,7116.00
"Trainser Co.",0.00,0.00,0.00,0.00,0.00,1627.70,0.00,0.00,0.00,0.00,0.00,0.00,1627.70
"Transwestern Pipeline",0.00,0.00,1625.32,0.00,0.00,0.00,0.00,0.00,0.00,3194.63,0.00,0.00,4819.95
"Trebla Industrial Resources, Inc.",0.00,125.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,125.00
"Tri-West Mechanical",0.00,0.00,0.00,0.00,0.00,0.00,0.00,421.38,880.91,909.15,1294.60,0.00,3506.04
"Twenty-Nine Palms Band of Mission Indians",0.00,0.00,0.00,0.00,0.00,0.00,1238.04,1440.56,460.56,4256.04,6057.56,9400.24,22853.00
"UBER",5664.05,4723.57,0.00,11834.01,2945.93,10389.80,963.59,3234.74,0.00,0.00,2694.16,1043.60,43493.45
"UCLA Campus Procurement",0.00,19613.85,0.00,8823.80,0.00,0.00,19949.37,16290.50,10855.61,0.00,0.00,0.00,75533.13
"UCLA Medical Center",0.00,0.00,0.00,0.00,69729.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69729.30
"Universal Air Filter, Filtration Group",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
