,"Jan 25","Feb 25","Mar 25","Apr 25","May 25","Jun 25","Jul 25","Aug 25","Sep 25","Oct 25","Nov 25","Dec 25","TOTAL"
"Harbinger Motors Inc.",0.00,0.00,0.00,0.00,569.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,569.30
"Harbor-UCLA Medical Center",12318.35,0.00,12026.56,2544.56,23488.30,0.00,0.00,0.00,0.00,0.00,4418.73,0.00,54796.50
"Harry L. Oswald Generating Station",0.00,0.00,0.00,0.00,0.00,0.00,14325.20,0.00,0.00,0.00,0.00,0.00,14325.20
"Hatfield & Company, Inc.",0.00,0.00,0.00,9858.81,0.00,0.00,0.00,5732.96,0.00,0.00,0.00,0.00,15591.77
"Hawaiian Electric Light Company",3684.50,0.00,3662.00,2474.68,14185.80,0.00,1984.42,31323.68,3984.28,0.00,0.00,0.00,61299.36
"Heavy Duty of North America, Inc.",0.00,0.00,4253.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4253.34
"Hendrick MotorSports",0.00,0.00,0.00,0.00,0.00,0.00,166.70,0.00,0.00,0.00,0.00,0.00,166.70
"High Desert Health Center",0.00,0.00,0.00,0.00,0.00,451.98,0.00,0.00,0.00,10910.94,0.00,0.00,11362.92
"High Desert Power Plant",0.00,57254.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57254.99
"HPM International Corp.",79875.00,0.00,222887.68,0.00,222514.90,0.00,108123.25,0.00,20660.00,0.00,20710.00,79875.00,754645.83
"HRL Laboratories, LLC",0.00,0.00,0.00,2699.51,0.00,4700.52,7139.70,239.54,4324.52,0.00,2699.51,83040.67,104843.97
"Hudson Electric Sales Corp",0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.84,7980.00,0.00,0.00,0.00,8689.84
"Huntington Beach Hospital",19237.37,0.00,0.00,0.00,7984.34,0.00,7984.34,0.00,1069.52,7984.34,0.00,26850.25,71110.16
"Huntington Memorial Hospital",32370.84,80484.17,43171.35,0.00,0.00,2600.00,0.00,0.00,84777.22,12266.84,10056.84,10694.75,276422.01
"Hurlen Corporation",0.00,0.00,0.00,0.00,0.00,2971.00,0.00,0.00,0.00,0.00,0.00,0.00,2971.00
"Hydroform",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4469.80,0.00,0.00,0.00,4469.80
"IBT West, LLC dba Magnum Industrial Distr",0.00,1568.00,0.00,0.00,2352.00,0.00,784.00,0.00,784.00,0.00,0.00,0.00,5488.00
"ICMHVAC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3257.53,3257.53
"IEC Supply",0.00,0.00,4201.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4201.78
"Illumined Arms",0.00,508.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,508.81
"Imperial Filtration",881.70,0.00,0.00,881.70,3851.51,0.00,0.00,0.00,3582.80,881.70,0.00,0.00,10079.41
"In Site PG",0.00,0.00,739.32,0.00,0.00,0.00,0.00,178.92,0.00,0.00,0.00,0.00,918.24
"Industrial Filtration, Inc..",4832.87,4832.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9665.74
"Industrial Supplies Company",0.00,0.00,0.00,5348.62,0.00,0.00,8691.92,0.00,0.00,0.00,0.00,0.00,14040.54
"Ingeteam",0.00,0.00,2725.98,3838.00,3130.10,12710.64,991.20,4071.00,2189.60,2345.20,0.00,424.80,32426.52
"Instrumar LLC",0.00,0.00,0.00,0.00,0.00,0.00,10425.00,0.00,0.00,0.00,0.00,0.00,10425.00
"International Graphics",0.00,0.00,0.00,543.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,543.90
"Jabil, Inc",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Jack T. Carter Company, Inc.",0.00,0.00,12259.23,0.00,4100.40,11239.47,6137.97,0.00,0.00,0.00,7881.22,0.00,41618.29
"Jackson Hole Airport",0.00,0.00,1974.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1974.98
"Jazz Semiconductor",0.00,0.00,975.12,6910.08,0.00,0.00,0.00,0.00,20967.09,1831.96,3204.72,0.00,33888.97
"JFS Specialty Services, Inc.",3600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3600.00
"JG Maintenance",0.00,1318.08,0.00,0.00,0.00,0.00,0.00,0.00,803.40,0.00,0.00,0.00,2121.48
"JMS AC and Heating",0.00,0.00,0.00,0.00,0.00,340.54,0.00,0.00,0.00,0.00,0.00,0.00,340.54
"Joe Fly Company",0.00,0.00,88550.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88550.92
"Johnston Integration Tech Aviation",0.00,0.00,0.00,0.00,0.00,0.00,0.00,1939.50,0.00,0.00,0.00,969.75,2909.25
"Jonesboro City Water & Light Plant",0.00,0.00,0.00,0.00,7511.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7511.65
"JPL Compressor Service, Inc.",0.00,0.00,0.00,427.26,2136.30,0.00,0.00,0.00,427.26,0.00,0.00,0.00,2990.82
"Kaiser Foundation Hospital-Downey-",0.00,0.00,0.00,0.00,1891.48,870.50,19067.82,2499.88,1003.24,9385.21,0.00,0.00,34718.13
"Kaiser Permanente - North Hollywood",2571.20,12396.74,0.00,0.00,2999.00,1088.80,1243.84,0.00,0.00,9278.72,0.00,0.00,29578.30
"Kaiser Permanente Anaheim Medical Center",0.00,0.00,0.00,0.00,0.00,0.00,631.40,0.00,0.00,0.00,0.00,0.00,631.40
"Karma Automotive",0.00,0.00,0.00,24279.03,4343.00,0.00,274.52,2161.59,0.00,0.00,0.00,0.00,31058.14
"Kauai Island Utility CO-OP",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7632.22,0.00,0.00,0.00,7632.22
"Kenworth Mexicana, S.A de C.V.",0.00,0.00,0.00,0.00,0.00,0.00,13765.50,0.00,0.00,0.00,0.00,0.00,13765.50
"Kinder Morgan",0.00,0.00,0.00,0.00,0.00,1472.98,0.00,0.00,606.85,0.00,0.00,0.00,2079.83
"King & George LLC",0.00,0.00,0.00,4035.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4035.15
"Klausen - Gestby Co",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1310.20,0.00,0.00,1310.20
"Kleen-Air",0.00,0.00,0.00,0.00,1653.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1653.80
"KN Engineering & Technology Inc.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,5540.64,0.00,0.00,0.00,0.00,5540.64
"Knight Mechanical Service",0.00,0.00,0.00,0.00,0.00,0.00,598.70,0.00,0.00,0.00,0.00,0.00,598.70
"Kobelco Compressors America, Inc.",0.00,1336.36,0.00,0.00,1308.00,0.00,0.00,0.00,0.00,0.00,0.00,1419.94,4064.30
"Kohls EFC E Fulfillment Center",2491.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2491.98
"Kyowa America Corp",4501.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4501.18
"L&J Services, Inc.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,124.14,124.14
"LA Downtown Medical Center",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5479.12,5479.12
"La Palma Intercommunity Hospital",0.00,10089.98,0.00,0.00,0.00,2393.41,0.00,2393.41,0.00,2442.41,0.00,0.00,17319.21
"La Paloma Generating Company",99681.11,21248.00,23269.40,0.00,0.00,24742.84,0.00,990.68,0.00,0.00,2516.00,34907.08,207355.11
"LAC+USC Medical Center",0.00,3526.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4549.38,8076.18
"LGM Pharma- (Nexgen Pharma)",539.60,0.00,497.00,0.00,461.84,2768.67,0.00,0.00,892.96,0.00,570.56,2892.77,8623.40
"Loma Linda University",15576.16,36556.56,0.00,6550.72,7483.72,3685.84,12711.92,15561.65,5974.08,0.00,15051.06,5066.40,124218.11
"Los Angeles County Public Health",0.00,131.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,131.34
"Los Angeles County Rancho Los Amigos",0.00,4543.79,9081.04,4536.74,13579.40,4524.74,9049.44,0.00,0.00,9049.40,0.00,4517.52,58882.07
"Los Angeles Cty. Internal Service Dept.",0.00,0.00,0.00,0.00,2786.37,0.00,760.64,0.00,4545.52,0.00,6266.24,1061.58,15420.35
"Los Angeles Dept. of Water & Power",29436.49,0.00,9687.66,0.00,4623.54,0.00,2830.06,64268.52,0.00,0.00,0.00,4409.00,115255.27
"Los Angeles Unified School Distric",9556.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9556.10
"Lotus USA",0.00,9056.70,4736.93,4505.12,0.00,4527.71,4759.53,4885.23,5018.33,5018.33,0.00,0.00,42507.88
"Louis Vuitton",8039.85,3525.25,9779.20,7873.80,8365.15,2587.32,7866.62,9537.22,8589.75,12330.27,6039.22,7488.11,92021.76
"Maaco Auto Body Shop & Painting",0.00,0.00,530.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,530.20
"Madison- Ofc 5161 LLC",5594.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5594.44
"Manning Supply Company",0.00,0.00,0.00,0.00,0.00,1495.81,0.00,0.00,0.00,0.00,0.00,0.00,1495.81
"Marathon Finishing Systems, Inc.",12976.16,0.00,14653.76,12976.16,14583.44,0.00,12976.16,0.00,12976.16,0.00,0.00,12976.16,94118.00
"Marathon Petrolem",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25319.20,0.00,0.00,25319.20
"Marenco",0.00,0.00,0.00,0.00,0.00,2281.85,0.00,0.00,0.00,0.00,0.00,0.00,2281.85
"Maui Electric Company, Limited",0.00,0.00,0.00,0.00,0.00,0.00,633.16,0.00,2290.80,0.00,0.00,11638.80,14562.76
"Mayekawa USA, Inc.",4326.00,1459.35,572.43,0.00,0.00,0.00,1391.94,0.00,0.00,0.00,0.00,3018.98,10768.70
"Mcfadden-Dale Hardware",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10482.26,0.00,0.00,0.00,10482.26
"McKenney's A/C, Inc.",0.00,0.00,0.00,0.00,0.00,1865.73,0.00,0.00,0.00,0.00,0.00,753.92,2619.65
"Medic Air, LLC",5133.35,20394.39,4100.70,23520.72,5105.20,4229.20,1403.49,313.60,11256.48,4366.12,3837.45,699.40,84360.10
"MEJA Designs",0.00,0.00,0.00,0.00,0.00,0.00,81.08,0.00,0.00,0.00,0.00,0.00,81.08
"Metro",2452.12,3018.00,5469.00,273.00,4184.28,17022.00,616.68,14348.36,5395.80,15574.52,16281.08,12399.36,97034.20
"Mid-Georgia Cogen, LP",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3030.00,0.00,0.00,0.00,3030.00
"Mission Aire",8775.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22770.03,0.00,0.00,0.00,31545.43
"MLK OP CENTER",0.00,0.00,0.00,0.00,0.00,0.00,0.00,10605.44,0.00,0.00,0.00,0.00,10605.44
"Montclair Hospital Medical Center",0.00,2566.40,0.00,0.00,2742.53,6500.00,0.00,2742.53,0.00,2822.30,2742.53,0.00,20116.29
"Motion Flow Control Products, Inc",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32657.20,0.00,0.00,0.00,32657.20
"Motion Industries.",123.00,129.36,0.00,0.00,2940.84,0.00,1314.56,0.00,3492.66,626.24,3504.56,64.68,12195.90
"MPL Trading",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7208.51,0.00,0.00,0.00,7208.51
"MRC Global",0.00,0.00,624.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,624.29
"MSC INDUSTRIAL SUPPLY CO.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,1719.30,0.00,0.00,0.00,0.00,1719.30
"NAES - Tracy Power Project",0.00,390.06,7019.48,0.00,268770.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,276179.54
"National Resource Management, Inc.",0.00,0.00,789.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,789.29
"Naval Experimental Diving Unit",0.00,0.00,0.00,0.00,2640.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2640.85
"Naval Research Laboratory",0.00,0.00,0.00,0.00,3608.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3608.28
"NCPA (No. Cal. Power Agency)",0.00,0.00,0.00,6560.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6560.82
"Nederman Mikropul",0.00,0.00,0.00,0.00,0.00,0.00,3256.98,4928.18,0.00,4659.25,0.00,0.00,12844.41
"New Harquahala Generating Co",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1762.78,0.00,1762.78
"New Indy Container - Oxnard",0.00,9435.06,0.00,11824.19,37526.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58786.11
"New Indy Container Board-Ontario, LLC",0.00,0.00,0.00,4992.40,0.00,0.00,0.00,0.00,3817.40,0.00,0.00,0.00,8809.80
"Next Turbo Americas, LLC",0.00,0.00,0.00,5607.67,4426.88,1442.70,12202.04,6957.76,0.00,426.52,2071.94,0.00,33135.51
"NextEra Energy",0.00,0.00,0.00,0.00,0.00,0.00,4117.76,0.00,0.00,0.00,3243.90,3940.48,11302.14
"NexteraEnergy",0.00,0.00,0.00,0.00,1574.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1574.20
"Nezo Oilfield Supplies Limited",0.00,0.00,0.00,0.00,23723.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23723.00
"Northridge Hospital Medical Center",13984.49,2092.13,2092.13,2092.13,11805.58,2092.13,750.00,1342.13,8752.53,2633.59,-447.73,31438.05,78627.16
"Norton Simon Museum",6561.56,0.00,0.00,0.00,0.00,0.00,0.00,6841.88,0.00,0.00,0.00,0.00,13403.44
"NRG - Marsh Landing",0.00,0.00,0.00,0.00,6450.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6450.56
"NRG - TH Wharton",0.00,0.00,2318.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2318.56
"NRG Energy El Segundo",0.00,0.00,309549.70,14635.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29937.78,354123.24
"NRG FAIST Corporation, Inc.",0.00,0.00,0.00,0.00,15864.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15864.00
"NTT Global Data Centers Americas, Inc",17602.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17602.79
"NXTNANO",0.00,10580.35,1182.50,0.00,2135.98,0.00,1595.00,0.00,0.00,0.00,0.00,0.00,15493.83
"Oakland Power Station",0.00,0.00,0.00,0.00,3648.00,0.00,0.00,0.00,0.00,3915.22,0.00,0.00,7563.22
"Olive View-UCLA Medical Center",0.00,3250.16,0.00,0.00,0.00,4086.40,2145.32,3966.10,0.00,2145.32,0.00,0.00,15593.30
"OLS Energy-CHINO",0.00,0.00,0.00,123788.04,0.00,0.00,21005.00,0.00,0.00,0.00,0.00,0.00,144793.04
"Olympic Aviation",0.00,1576.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1576.00
"Omni Services",0.00,0.00,0.00,0.00,0.00,90.80,0.00,0.00,0.00,0.00,0.00,0.00,90.80
"Orange County Global Medical Center",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10739.10,0.00,0.00,10739.10
"OSI Optoelectronics-Semicoa",0.00,3111.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5909.20,10485.92,19506.30
"P. Industriales",0.00,0.00,10061.40,43109.00,0.00,0.00,0.00,0.00,0.00,0.00,1221.75,0.00,54392.15
"Pacific Coast Contracting Group",0.00,11302.01,33458.46,21131.12,0.00,21131.12,139149.21,28483.48,36381.45,23656.78,0.00,63299.63,377993.26
"Pacific Mechanical Supply",0.00,0.00,0.00,273.24,0.00,0.00,1639.44,0.00,0.00,0.00,0.00,1821.60,3734.28
"PacifiCorp",0.00,0.00,0.00,30889.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30889.08
"Palmdale Regional Medical Center",0.00,4476.82,0.00,4455.88,0.00,0.00,4455.88,0.00,0.00,4455.88,0.00,45220.86,63065.32
"Palomar Health",0.00,0.00,0.00,0.00,0.00,1523.60,4570.80,5110.00,0.00,0.00,5110.00,0.00,16314.40
"Panasonic Avionics Corporation",1308.20,0.00,0.00,0.00,1537.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2845.40
"Par Pacific Holdings, inc",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71517.08,71517.08
"Pasadena Police Dept Range",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14220.34,14220.34
"Pechanga Resort & Casino",22165.31,43382.52,812.98,0.00,0.00,1867.60,3345.28,0.00,1307.84,0.00,0.00,0.00,72881.53
"Pepperdine University",10806.68,0.00,0.00,19271.42,6537.15,0.00,0.00,32079.24,0.00,0.00,20838.70,7568.91,97102.10
"Percival Aviation",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"PGE- Port Westward Generation Station",0.00,0.00,0.00,0.00,0.00,1580.72,0.00,0.00,0.00,0.00,0.00,0.00,1580.72
"PGE Westward Power Station 1",0.00,0.00,0.00,0.00,2253.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2253.72
"Phillips 66 Company",3790.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3790.60
"PIC Group Inc.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6850.40,0.00,0.00,6850.40
"PIH Health Whittier Hospital",0.00,0.00,0.00,0.00,0.00,0.00,19825.50,0.00,24999.18,9515.00,0.00,0.00,54339.68
"Pine Castle Hardware",0.00,0.00,0.00,134.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,134.10
"Pinellas County Utilities",423.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,423.36
"Placentia-Linda Hospital",11892.61,3721.28,0.00,500.00,0.00,3734.78,500.00,4305.20,0.00,500.00,3984.80,0.00,29138.67
"Pluspetrol International",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27220.92,0.00,0.00,27220.92
"PMB Real Estate Services",400.00,0.00,0.00,0.00,0.00,0.00,0.00,9281.56,0.00,0.00,0.00,0.00,9681.56
"Port of Seattle",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2619.14,2619.14
"Portacool, LLC.",0.00,0.00,0.00,0.00,56966.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56966.48
"PPG Energy",17624.00,0.00,33883.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51507.55
"Pratt Energy, LLC",0.00,12712.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12712.40
"Praxair",19692.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19692.00
"Precision Filter Products",0.00,0.00,1395.91,0.00,2139.99,0.00,3500.04,3626.20,1239.91,1707.58,138564.34,1911.29,154085.26
"Precision Iceblast Corp",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5700.00,0.00,5700.00
"Precision Quincy",0.00,478.27,0.00,2077.16,0.00,0.00,481.82,0.00,1155.48,0.00,0.00,0.00,4192.73
"Preferred Filtration",0.00,0.00,6598.61,0.00,7108.66,0.00,0.00,0.00,0.00,-3526.65,0.00,0.00,10180.62
"Premco Forge, Inc",442.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,442.60
"Prevalon",1804.40,0.00,1804.40,0.00,1804.40,0.00,1804.40,0.00,0.00,0.00,5138.08,2794.15,15149.83
"Production Print Solutions-MCS Services",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1562.40,0.00,0.00,1562.40
"Providence Little Co. of Mary- San Pedro-",0.00,0.00,7841.54,450.00,286.60,8291.54,450.00,0.00,8054.21,984.00,0.00,29845.15,56203.04
"Providence Little Company of Mary - Torr-",2798.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20358.38,0.00,23156.38
"Providence Saint Joseph - MAIN Burbank-",11250.00,16956.56,-1650.73,40174.63,0.00,-420.31,41673.43,-420.31,-1238.94,42492.05,4325.77,-818.62,152323.53
"Providence Tarzana Medical Center-",2418.00,16292.80,0.00,0.00,5603.16,0.00,0.00,11489.32,54266.35,0.00,247.39,0.00,90317.02
"Prudential Cleanroom Services",3180.65,0.00,0.00,2122.92,2050.90,4748.56,0.00,0.00,3406.06,0.00,0.00,1946.48,17455.57
"PT Dunia  Cipta Lestari",4581.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5296.08,0.00,9877.83
"Pure Process Filtration, Inc",332.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,332.40
"Quality Mechanical Services",0.00,0.00,0.00,453.54,0.00,0.00,0.00,913.56,0.00,0.00,0.00,0.00,1367.10
"Quality Refrigeration and Air Conditing",0.00,0.00,0.00,4216.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4216.00
"Quest Diagnostics",0.00,0.00,0.00,0.00,0.00,0.00,13746.84,0.00,0.00,0.00,843.92,0.00,14590.76
"Quinn Cat",0.00,0.00,0.00,0.00,0.00,0.00,6053.00,0.00,0.00,0.00,0.00,0.00,6053.00
"R&D Trading Co.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29286.24,0.00,0.00,29286.24
"Radford Studio Center",0.00,0.00,852.00,0.00,0.00,14291.31,0.00,0.00,0.00,0.00,0.00,2649.65,17792.96
"Rady Children's Hospital-San Diego",0.00,0.00,0.00,3441.60,3441.60,0.00,0.00,0.00,3691.80,0.00,1930.38,0.00,12505.38
"Raymonds Supply Co Ltd",0.00,0.00,0.00,3186.72,0.00,0.00,0.00,0.00,3480.00,0.00,8245.00,0.00,14911.72
"RCG USA",0.00,0.00,0.00,0.00,591.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,591.20
"Redlands Community Hospital",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17089.24,17089.24
"Redman Equipment Manufacturing",960.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,960.99
"Redstone Holdings Inc.",1339.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1339.52
"Redwood Materials, Inc",0.00,0.00,0.00,0.00,540.61,0.00,0.00,0.00,20186.20,0.00,4745.12,0.00,25471.93
"Regent Santa Monica Beach",0.00,0.00,0.00,0.00,0.00,0.00,4085.72,0.00,0.00,0.00,0.00,0.00,4085.72
"Rene Padilla",0.00,0.00,0.00,0.00,0.00,0.00,221.90,0.00,0.00,0.00,0.00,0.00,221.90
"REX UMBAY",0.00,0.00,0.00,1000.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1000.80
"Rich's Products Corporation- (Venice Bake",119.76,0.00,0.00,0.00,226.40,0.00,183.40,0.00,0.00,0.00,0.00,0.00,529.56
"Richard Industries, LLC.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Rimage Corporation",0.00,0.00,0.00,0.00,420.00,0.00,0.00,0.00,0.00,504.00,0.00,0.00,924.00
"River Road Generating Plant",0.00,10428.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10428.52
"Riverside University Health System",0.00,0.00,0.00,0.00,0.00,4572.18,0.00,0.00,4231.16,0.00,0.00,189.56,8992.90
"Roseville Energy Park",0.00,0.00,0.00,729.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,729.78
"Roto Air Filters Sales & Service",12949.57,0.00,0.00,0.00,9868.14,0.00,12216.58,3707.02,5027.22,14890.82,7758.28,14982.46,81400.09
"rPlanet Earth",0.00,4014.20,0.00,0.00,4014.20,0.00,0.00,4014.20,0.00,0.00,0.00,0.00,12042.60
"RSD-Lake Forest",0.00,0.00,0.00,2845.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2845.78
"S2K Graphics, Inc",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Safran Cabin C&D Zodiac",2692.52,0.00,0.00,0.00,0.00,6731.30,1346.26,0.00,2692.52,5385.04,0.00,0.00,18847.64
"Salinas Valley Health",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1543.66,1543.66
"San Dimas Community Hospital",0.00,6979.48,0.00,0.00,1236.62,5980.00,0.00,1942.20,0.00,0.00,2115.86,1346.35,19600.51
"San Gabriel Valley Medical Center",0.00,0.00,0.00,0.00,0.00,0.00,0.00,8515.24,0.00,0.00,0.00,0.00,8515.24
"San José-Santa Clara Regional Wastewater",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2516.67,1324.76,0.00,3841.43
"Santiago Canyon College",0.00,0.00,0.00,0.00,0.00,21033.25,0.00,0.00,0.00,0.00,0.00,0.00,21033.25
"Saputo Cheese USA Inc",0.00,0.00,0.00,481.20,3852.90,4894.80,3001.90,5648.36,0.00,2447.40,4846.80,2525.40,27698.76
"Schluter-Systems L.P.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,305.48,0.00,0.00,0.00,0.00,305.48
"Sechang Philippines Corporation",0.00,0.00,16622.59,0.00,0.00,0.00,0.00,0.00,0.00,4577.54,0.00,0.00,21200.13
"Seifert Systems, Inc",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"SFE Group",0.00,0.00,0.00,0.00,0.00,257.18,1574.99,0.00,0.00,0.00,0.00,0.00,1832.17
"Sherman Oaks Hospital",0.00,0.00,0.00,0.00,0.00,13467.61,5662.50,336.10,672.20,5147.50,0.00,5468.36,30754.27
"Shop Med Parts",0.00,2832.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2832.00
"Sierra Pacific Industries",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1987.67,0.00,0.00,0.00,1987.67
"Signs 365",0.00,0.00,626.27,3568.78,3641.95,502.25,0.00,0.00,3658.75,0.00,3923.25,0.00,15921.25
"SK2k Graphics",0.00,0.00,1581.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1581.90
"SMG-Ontario Convention Center",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5346.00,0.00,2595.80,7941.80
"SMSI Group",0.00,0.00,0.00,0.00,0.00,0.00,0.00,558.97,0.00,0.00,0.00,0.00,558.97
"Snskar Systems India Private Limitied",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1196.33,0.00,0.00,1196.33
"Soap to Nuts",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1453.30,1453.30
